X (m),Y (m),Potencial (J/kg),-du/dx (1/m)
-4.5049790363e+06,-4.5049755695e+06,-4.6526375667e+07,9.8163940047e+00
-4.8366232037e+06,-5.4334835254e+06,-3.4966359141e+07,7.5592539077e+00
-3.7447821562e+06,-5.1542455901e+06,-4.6269162620e+07,7.8447838915e+00
-3.8523304373e+06,-6.1073340149e+06,-3.4836563408e+07,5.7142493016e+00
-2.8923763936e+06,-5.6766010779e+06,-4.5591341740e+07,5.8263739047e+00
-5.1542484719e+06,-3.7447781897e+06,-4.6268971353e+07,1.1658852295e+01
-5.6390832542e+06,-4.6624748758e+06,-3.4369523537e+07,9.2697071487e+00
-5.6766033037e+06,-2.8923720252e+06,-4.5592063289e+07,1.3262471970e+01
-6.2785055173e+06,-3.6701230356e+06,-3.3955697855e+07,1.1108850988e+01
-2.7553902691e+06,-6.6279091233e+06,-3.4000976109e+07,3.8770613539e+00
-1.9687508422e+06,-6.0591799050e+06,-4.4745561537e+07,3.8272605606e+00
-1.7058949299e+06,-7.0271063217e+06,-3.1966231094e+07,2.2163524288e+00
-9.9664689177e+05,-6.2925619562e+06,-4.4053000143e+07,1.8833170766e+00
-6.0591814201e+06,-1.9687461793e+06,-4.4745837771e+07,1.4519672132e+01
-6.7182256821e+06,-2.6981403314e+06,-3.3085242142e+07,1.2538744419e+01
-6.2925625112e+06,-9.9664338766e+05,-4.4052960452e+07,1.5328982305e+01
-7.0408275865e+06,-1.6958907095e+06,-3.1802147619e+07,1.3563209961e+01
0.0000000000e+00,-6.3710000000e+06,-4.3786205631e+07,-5.6693904718e-04
-5.6641518787e+05,-7.2251282903e+06,-3.0871615601e+07,7.0642045144e-01
-6.3710000000e+06,0.0000000000e+00,-4.3786275906e+07,1.5603274583e+01
-7.2466021167e+06,-5.6437589619e+05,-3.0569234015e+07,1.4141969343e+01
-6.2925619562e+06,9.9664689177e+05,-4.4052773984e+07,1.5330014562e+01
-7.2170677375e+06,5.2775575632e+05,-3.1012371443e+07,1.4193097779e+01
5.6303512668e+05,-7.2494999940e+06,-3.0529265131e+07,-6.9420155418e-01
9.9664338766e+05,-6.2925625112e+06,-4.4053079017e+07,-1.8834585835e+00
-6.0591799050e+06,1.9687508422e+06,-4.4745534871e+07,1.4522110088e+01
-7.0244010522e+06,1.6933667069e+06,-3.2030614683e+07,1.3588953911e+01
1.9687461793e+06,-6.0591814201e+06,-4.4745654313e+07,-3.8269834021e+00
1.6925456202e+06,-7.0280702628e+06,-3.1982526160e+07,-2.2002300590e+00
-6.6222711335e+06,2.7489847197e+06,-3.4096516927e+07,1.2550406706e+01
-5.6766010779e+06,2.8923763936e+06,-4.5591309404e+07,1.3266286716e+01
2.7534406772e+06,-6.7051402823e+06,-3.3043583088e+07,-3.7474347786e+00
2.8923720252e+06,-5.6766033037e+06,-4.5591355819e+07,-5.8231531421e+00
-5.1542455901e+06,3.7447821562e+06,-4.6269062924e+07,1.1655972423e+01
-6.1090443686e+06,3.8510764898e+06,-3.4825167449e+07,1.0844440290e+01
3.7447781897e+06,-5.1542484719e+06,-4.6269356103e+07,-7.8350255921e+00
3.8115269781e+06,-6.1888218376e+06,-3.4180973045e+07,-5.5164500449e+00
-4.5049755695e+06,4.5049790363e+06,-4.6526260968e+07,9.8094694346e+00
-5.4414454836e+06,4.8482003529e+06,-3.4807760831e+07,8.8848516662e+00
4.6551544293e+06,-5.6674907248e+06,-3.4157479953e+07,-6.9874854787e+00
4.5049755695e+06,-4.5049790363e+06,-4.6526250543e+07,-9.8086815649e+00
-3.7447781897e+06,5.1542484719e+06,-4.6268835270e+07,7.8362484625e+00
-4.6505332397e+06,5.6096154119e+06,-3.4727619637e+07,7.1173465478e+00
5.4124262604e+06,-4.8728664681e+06,-3.4878432996e+07,-8.8331585862e+00
5.1542455901e+06,-3.7447821562e+06,-4.6269199500e+07,-1.1656752003e+01
-2.8923720252e+06,5.6766033037e+06,-4.5591733699e+07,5.8186644441e+00
-3.6892278121e+06,6.2296558886e+06,-3.4396796565e+07,5.3555686755e+00
6.0590459815e+06,-3.8668433943e+06,-3.5276098867e+07,-1.0840997334e+01
5.6766010779e+06,-2.8923763936e+06,-4.5590958905e+07,-1.3268203138e+01
-1.9687461793e+06,6.0591814201e+06,-4.4745643102e+07,3.8260681690e+00
-2.6935286454e+06,6.6991131156e+06,-3.3342133905e+07,3.6976805505e+00
6.6074342969e+06,-2.7437829035e+06,-3.4303010342e+07,-1.2574393820e+01
6.0591799050e+06,-1.9687508422e+06,-4.4745356145e+07,-1.4521240901e+01
-9.9664338766e+05,6.2925625112e+06,-4.4052763008e+07,1.8838513228e+00
-1.6968803289e+06,7.0269605901e+06,-3.1988092220e+07,2.2058608167e+00
7.0154870116e+06,-1.7080231565e+06,-3.2119161542e+07,-1.3582597957e+01
6.2925619562e+06,-9.9664689177e+05,-4.4052716548e+07,-1.5328193828e+01
0.0000000000e+00,6.3710000000e+06,-4.3785797831e+07,8.6639085379e-04
-5.6307187515e+05,7.2379869999e+06,-3.0691945251e+07,6.9871343173e-01
7.2214114835e+06,-5.6926834498e+05,-3.0922256548e+07,-1.4172987005e+01
6.3710000000e+06,0.0000000000e+00,-4.3785764897e+07,-1.5604453739e+01
9.9664689177e+05,6.2925619562e+06,-4.4052373875e+07,-1.8837403259e+00
5.5176371256e+05,7.2140692430e+06,-3.1038815026e+07,-6.8843004354e-01
1.6874929925e+06,6.9529010096e+06,-3.3017979830e+07,-2.2733613331e+00
1.9687508422e+06,6.0591799050e+06,-4.4745294315e+07,-3.8275345460e+00
7.2368232087e+06,5.5052283710e+05,-3.0717107217e+07,-1.4159581300e+01
6.2925625112e+06,9.9664338766e+05,-4.4052735808e+07,-1.5329647332e+01
7.0427050431e+06,1.6814247490e+06,-3.1808312857e+07,-1.3576718852e+01
6.0591814201e+06,1.9687461793e+06,-4.4745638938e+07,-1.4520768586e+01
2.7214476096e+06,6.6021099971e+06,-3.4457029968e+07,-3.8892088503e+00
2.8923763936e+06,5.6766010779e+06,-4.5590898968e+07,-5.8277007041e+00
6.7076959546e+06,2.6805706166e+06,-3.3281976201e+07,-1.2578650999e+01
5.6766033037e+06,2.8923720252e+06,-4.5591813116e+07,-1.3263852992e+01
3.7447821562e+06,5.1542455901e+06,-4.6269063296e+07,-7.8458271473e+00
3.8470416763e+06,6.0616585556e+06,-3.5362938481e+07,-5.8073826410e+00
4.5049790363e+06,4.5049755695e+06,-4.6526121796e+07,-9.8176962934e+00
4.8144249678e+06,5.4132793262e+06,-3.5315149831e+07,-7.6029760922e+00
5.1542484719e+06,3.7447781897e+06,-4.6268814794e+07,-1.1659897573e+01
5.6327606217e+06,4.6376251997e+06,-3.4603705026e+07,-9.3271582650e+00
6.2626992996e+06,3.6631722050e+06,-3.4168111249e+07,-1.1133586683e+01
-8.8631234652e+06,-8.8664907116e+06,-8.4509851536e+05,1.2188777568e+00
-9.5565000000e+06,-8.5505526316e+06,0.0000000000e+00,1.7767047250e+00
-9.5565000000e+06,-9.5565000000e+06,0.0000000000e+00,-8.4440903988e-06
-8.5505526316e+06,-9.5565000000e+06,0.0000000000e+00,-5.8012100970e-05
-8.6742663432e+06,-7.9879922260e+06,-2.4442204364e+06,2.7714597325e+00
-9.5565000000e+06,-7.5446052632e+06,0.0000000000e+00,3.5516290189e+00
-7.9777983510e+06,-8.6809087006e+06,-2.4415716335e+06,1.5459938894e+00
-7.9124327131e+06,-7.9093822075e+06,-4.7848500369e+06,2.9121446963e+00
-7.5446052632e+06,-9.5565000000e+06,0.0000000000e+00,-1.4848929271e-04
-7.3757997279e+06,-8.1233827455e+06,-5.5212890977e+06,2.5297704233e+00
-7.3984880036e+06,-7.3733171903e+06,-8.3305210777e+06,3.8687333560e+00
-8.1280792519e+06,-7.3699694204e+06,-5.5178575246e+06,3.8698052394e+00
-8.7587173190e+06,-7.0055339749e+06,-3.5910369265e+06,4.5050905079e+00
-9.5565000000e+06,-6.5386578947e+06,0.0000000000e+00,5.3150635881e+00
-7.0096282771e+06,-8.7575885779e+06,-3.5903824896e+06,1.4029054352e+00
-6.5386578947e+06,-9.5565000000e+06,0.0000000000e+00,-3.7419597639e-04
-6.5840535703e+06,-7.8750789951e+06,-8.8271488521e+06,2.9543162097e+00
-6.7414443017e+06,-7.0606107604e+06,-1.2438242145e+07,4.4313734541e+00
-7.1511144791e+06,-6.7011747052e+06,-1.2156241465e+07,5.0861792293e+00
-7.8964919812e+06,-6.5736214981e+06,-8.7445972646e+06,5.2924837487e+00
-8.7417559231e+06,-6.0164986549e+06,-5.0711167772e+06,6.2357420010e+00
-9.5565000000e+06,-5.5327105263e+06,0.0000000000e+00,7.0423973264e+00
-6.0368548552e+06,-8.7531610261e+06,-4.9717820964e+06,1.3845690196e+00
-5.5327105263e+06,-9.5565000000e+06,0.0000000000e+00,-6.2216221795e-04
-5.5312237312e+06,-7.9461593668e+06,-1.1396918036e+07,2.7537027874e+00
-5.9775429133e+06,-7.0733365419e+06,-1.5731425551e+07,4.3753021730e+00
-6.5496833310e+06,-6.4683053961e+06,-1.6468632948e+07,5.5260042913e+00
-7.1824889229e+06,-6.0367504344e+06,-1.4784045257e+07,6.3027525883e+00
-7.8273847091e+06,-5.4670877336e+06,-1.2435686893e+07,7.2666139169e+00
-8.7367165021e+06,-5.0114687544e+06,-6.4932085933e+06,7.9460201113e+00
-9.5565000000e+06,-4.5267631579e+06,0.0000000000e+00,8.6871970890e+00
-5.0304914995e+06,-8.7858543602e+06,-6.0788032981e+06,1.2677904887e+00
-4.5267631579e+06,-9.5565000000e+06,0.0000000000e+00,-1.0989116881e-03
-4.5795440513e+06,-8.0220620366e+06,-1.3286721705e+07,2.4748762361e+00
-4.9788554978e+06,-7.1674632407e+06,-1.9264740150e+07,4.0616379500e+00
-5.4294043409e+06,-6.5490448438e+06,-2.2033725072e+07,5.3106147219e+00
-5.9531360176e+06,-6.2485818967e+06,-2.1193595683e+07,5.9383004774e+00
-6.4466835446e+06,-5.8144917285e+06,-2.0673351111e+07,6.7735521387e+00
-6.9689310773e+06,-5.3205620473e+06,-1.9382305022e+07,7.6548977052e+00
-7.9577270227e+06,-4.5222379313e+06,-1.3999026287e+07,8.8779145767e+00
-7.3075815347e+06,-4.7884748147e+06,-1.8830648106e+07,8.5669214512e+00
-8.7208254892e+06,-4.0081909899e+06,-7.9410133288e+06,9.5485268547e+00
-9.5565000000e+06,-3.5208157895e+06,0.0000000000e+00,1.0182120754e+01
-4.0451592371e+06,-8.7839059669e+06,-7.2961590640e+06,1.1587192017e+00
-3.5208157895e+06,-9.5565000000e+06,0.0000000000e+00,-7.2836483549e-04
-5.3930889182e+06,-6.0612156338e+06,-2.5939688444e+07,6.2723231328e+00
-4.2178731082e+06,-7.3995413929e+06,-2.0052827742e+07,3.4332614621e+00
-3.6189190741e+06,-7.9549006035e+06,-1.6240754231e+07,2.3118615789e+00
-4.7946668618e+06,-6.3435383331e+06,-2.7174827809e+07,5.6010868660e+00
-4.2926288217e+06,-6.8118596890e+06,-2.5391805189e+07,4.5190343017e+00
-5.7759991907e+06,-5.5210983777e+06,-2.7244469569e+07,7.4010096939e+00
-6.2869981150e+06,-5.1751501169e+06,-2.5482863701e+07,8.0459333445e+00
-7.8791200944e+06,-3.5038277355e+06,-1.7301655210e+07,1.0538976329e+01
-6.6042935081e+06,-4.5571235553e+06,-2.6087169464e+07,9.2018136739e+00
-7.1757356241e+06,-4.0751790887e+06,-2.2741784248e+07,9.8807023213e+00
-8.8084337709e+06,-2.9944486934e+06,-8.1509589081e+06,1.0953996964e+01
-9.5565000000e+06,-2.5148684211e+06,0.0000000000e+00,1.1429674044e+01
-8.0268271935e+06,-2.6460127495e+06,-1.7453885787e+07,1.1668406534e+01
-2.9947941325e+06,-8.8270986342e+06,-7.9462503825e+06,9.1343197494e-01
-2.5148684211e+06,-9.5565000000e+06,0.0000000000e+00,-7.0997507418e-04
-2.6914800230e+06,-8.0359194067e+06,-1.7266411857e+07,1.7986493162e+00
-3.6194180958e+06,-7.0414213947e+06,-2.5855325261e+07,3.7976259766e+00
-3.0260133176e+06,-7.4124971695e+06,-2.3691776167e+07,2.8455076702e+00
-7.0999784231e+06,-3.3746320136e+06,-2.6114223637e+07,1.1132759786e+01
-7.4483051978e+06,-2.9258898767e+06,-2.3557631028e+07,1.1613245423e+01
-9.5565000000e+06,-1.5089210526e+06,0.0000000000e+00,1.2333400126e+01
-8.6078119315e+06,-1.9107582136e+06,-1.1459404188e+07,1.2200067781e+01
-8.7347741908e+06,-9.4770206517e+05,-1.0446135175e+07,1.2815970581e+01
-9.5565000000e+06,-5.0297368421e+05,0.0000000000e+00,1.2812748196e+01
-7.7970713577e+06,-1.9587067168e+06,-2.1431743727e+07,1.2580351332e+01
-7.4328528319e+06,-2.3569292625e+06,-2.5195953325e+07,1.2412699306e+01
-2.4448591262e+06,-7.4023353191e+06,-2.5361554283e+07,2.4667066660e+00
-1.5089210526e+06,-9.5565000000e+06,0.0000000000e+00,4.2655766351e-03
-1.9209164697e+06,-8.6124886457e+06,-1.1393878675e+07,8.3815435540e-01
-2.0031809455e+06,-7.7896058752e+06,-2.1451732666e+07,1.6775429165e+00
-9.6214172986e+05,-8.7220105006e+06,-1.0604140405e+07,3.8935360878e-01
-5.0297368421e+05,-9.5565000000e+06,0.0000000000e+00,-2.3185537093e-04
-9.5565000000e+06,5.0297368421e+05,0.0000000000e+00,1.2811335279e+01
-8.6410359368e+06,1.2815038457e+04,-1.1849558051e+07,1.3078605824e+01
-7.8977058766e+06,-1.2463006141e+06,-2.1085324110e+07,1.3132253616e+01
-8.0645525418e+06,-5.5046750113e+05,-1.9366791905e+07,1.3336727028e+01
-1.2717062817e+06,-7.8908423402e+06,-2.1148944888e+07,1.0516529530e+00
-5.6230863772e+05,-8.0675136981e+06,-1.9322248815e+07,4.1616008928e-01
5.0297368421e+05,-9.5565000000e+06,0.0000000000e+00,-1.0547362015e-03
-8.1818772850e+03,-8.6505706838e+06,-1.1724938190e+07,3.3770757795e-03
-7.8420694023e+06,-5.0008336989e+03,-2.2488810016e+07,1.3610496470e+01
-8.7136538196e+06,9.5234357363e+05,-1.0714966774e+07,1.2820414656e+01
-9.5565000000e+06,1.5089210526e+06,0.0000000000e+00,1.2332771712e+01
-8.0410886786e+06,5.4926843405e+05,-1.9680568619e+07,1.3352990003e+01
-8.6164665919e+06,1.9000846272e+06,-1.1362640218e+07,1.2205722100e+01
-9.5565000000e+06,2.5148684211e+06,0.0000000000e+00,1.1429523506e+01
7.0018218229e+03,-7.8608714753e+06,-2.2233277379e+07,-6.5795571020e-03
9.3542469628e+05,-8.7326799577e+06,-1.0477388764e+07,-3.7575993952e-01
1.5089210526e+06,-9.5565000000e+06,0.0000000000e+00,-5.6020596561e-03
5.5195773958e+05,-8.0806743948e+06,-1.9151123251e+07,-4.0421293487e-01
2.5148684211e+06,-9.5565000000e+06,0.0000000000e+00,-1.0488997098e-03
1.8916181399e+06,-8.6597319581e+06,-1.0841690806e+07,-7.8597483258e-01
-7.8712654910e+06,1.2361049724e+06,-2.1443399815e+07,1.3159877184e+01
-7.7823170323e+06,1.9763610877e+06,-2.1588242071e+07,1.2573807013e+01
-8.8054069513e+06,2.9587899240e+06,-8.2175083614e+06,1.1001269499e+01
-9.5565000000e+06,3.5208157895e+06,0.0000000000e+00,1.0183449244e+01
-8.0317382831e+06,2.6480389462e+06,-1.7392952852e+07,1.1663944997e+01
-8.7638308104e+06,4.0202315307e+06,-7.5161965663e+06,9.5243558339e+00
-9.5565000000e+06,4.5267631579e+06,0.0000000000e+00,8.6878442624e+00
-8.7427791580e+06,5.0242536935e+06,-6.4279459265e+06,7.9248043885e+00
-9.5565000000e+06,5.5327105263e+06,0.0000000000e+00,7.0423060111e+00
-8.7256332675e+06,6.0003620314e+06,-5.1947291929e+06,6.2640058550e+00
-9.5565000000e+06,6.5386578947e+06,0.0000000000e+00,5.3149349261e+00
-8.7615839854e+06,6.9657991051e+06,-3.6335667587e+06,4.5750602089e+00
-9.5565000000e+06,7.5446052632e+06,0.0000000000e+00,3.5516945092e+00
1.2625089304e+06,-7.9097498632e+06,-2.0910534368e+07,-1.0311571125e+00
1.9704361624e+06,-7.8236879611e+06,-2.1077817980e+07,-1.6190931894e+00
2.9737968880e+06,-8.8314687881e+06,-7.9175470550e+06,-9.0464523710e-01
3.5208157895e+06,-9.5565000000e+06,0.0000000000e+00,1.8485221193e-04
2.6253094086e+06,-8.0842840765e+06,-1.6819653312e+07,-1.7073942952e+00
4.0286672566e+06,-8.8056221311e+06,-7.1089951377e+06,-1.1239914876e+00
4.5267631579e+06,-9.5565000000e+06,0.0000000000e+00,7.9187385147e-04
5.0259556790e+06,-8.7927943710e+06,-6.0295928622e+06,-1.2562370659e+00
5.5327105263e+06,-9.5565000000e+06,0.0000000000e+00,4.5204445679e-04
6.0104861512e+06,-8.7792972863e+06,-4.8450686381e+06,-1.3386435160e+00
6.5386578947e+06,-9.5565000000e+06,0.0000000000e+00,1.9560688057e-04
6.9768564589e+06,-8.8076445073e+06,-3.4083091387e+06,-1.3144009476e+00
7.5446052632e+06,-9.5565000000e+06,0.0000000000e+00,6.3744909246e-05
-7.3916530465e+06,2.4377097484e+06,-2.5510912534e+07,1.2339143373e+01
-7.9460690714e+06,3.5754297512e+06,-1.6432764475e+07,1.0406069065e+01
-7.4067775265e+06,3.0048030533e+06,-2.3817922129e+07,1.1521385589e+01
-7.9717148269e+06,4.5200783072e+06,-1.3880262214e+07,8.8804604586e+00
-7.3611822093e+06,4.2012633520e+06,-2.0477669664e+07,9.5974575097e+00
-7.8036471221e+06,5.5338044092e+06,-1.2407931893e+07,7.1519310998e+00
-7.9412413031e+06,6.4958546299e+06,-8.7281715241e+06,5.4300610145e+00
-7.2479684402e+06,6.1779735309e+06,-1.3797930853e+07,6.0398112265e+00
-7.9872404684e+06,7.2683419108e+06,-6.3445442924e+06,4.0515942935e+00
-8.6402383242e+06,8.0428913481e+06,-2.4497108281e+06,2.6745422343e+00
-9.5565000000e+06,8.5505526316e+06,0.0000000000e+00,1.7766965583e+00
-8.8650660247e+06,8.9069251992e+06,-7.9335072726e+05,1.1474672637e+00
-9.5565000000e+06,9.5565000000e+06,0.0000000000e+00,-6.8783545338e-06
2.3818450811e+06,-7.4429687740e+06,-2.5012121175e+07,-2.3639403057e+00
3.5786333614e+06,-8.0644040416e+06,-1.5197340991e+07,-2.1323072734e+00
2.9859807324e+06,-7.4766211830e+06,-2.3065983730e+07,-2.7264385413e+00
4.5729565164e+06,-8.0260832206e+06,-1.3267512992e+07,-2.4659939990e+00
5.4840775901e+06,-8.0327566518e+06,-1.0901608397e+07,-2.5970248523e+00
4.1890873009e+06,-7.4395078672e+06,-1.9768134836e+07,-3.3535931431e+00
6.4981227226e+06,-7.9289943898e+06,-8.7881753362e+06,-2.8549936748e+00
7.3268358032e+06,-8.1460381217e+06,-5.5557580257e+06,-2.4891824819e+00
8.5505526316e+06,-9.5565000000e+06,0.0000000000e+00,4.9696019028e-05
7.9562496425e+06,-8.7020951729e+06,-2.4149744938e+06,-1.5084845387e+00
7.8764239739e+06,-7.9175816046e+06,-4.8653618145e+06,-2.8975512494e+00
8.8599856588e+06,-8.8706647631e+06,-8.4378846986e+05,-1.2115118937e+00
9.5565000000e+06,-9.5565000000e+06,0.0000000000e+00,8.5337633223e-06
-7.0421560978e+06,3.6138521010e+06,-2.5868481187e+07,1.0759346297e+01
-7.1950151356e+06,4.8140555780e+06,-1.9694878877e+07,8.5491297777e+00
-6.8326498949e+06,4.2862911035e+06,-2.5220169434e+07,9.6307348018e+00
-6.8755596656e+06,5.5253284976e+06,-1.9138727070e+07,7.2831995264e+00
-6.5115864490e+06,6.3044352786e+06,-1.7571216648e+07,5.8335832803e+00
-7.1249206526e+06,7.0282661361e+06,-1.0878137944e+07,4.4917063148e+00
-7.5498531276e+06,7.9822188353e+06,-5.5821334300e+06,2.7821349713e+00
-8.0215391678e+06,8.8281820161e+06,-1.9745385535e+06,1.2858698827e+00
-8.5505526316e+06,9.5565000000e+06,0.0000000000e+00,-2.1001678597e-05
3.5911946988e+06,-7.1224105996e+06,-2.5089706459e+07,-3.6421523090e+00
4.2273250348e+06,-6.8606509612e+06,-2.5210981009e+07,-4.4037616583e+00
5.8623307082e+06,-7.3247883637e+06,-1.4569911760e+07,-3.9039485343e+00
4.9753268929e+06,-7.1239905130e+06,-1.9638011377e+07,-4.1397994275e+00
6.4997576977e+06,-7.0385823264e+06,-1.3628657489e+07,-4.4651678391e+00
7.3265588313e+06,-7.3738945512e+06,-8.6064931807e+06,-3.8677863606e+00
7.0733472169e+06,-6.6400619788e+06,-1.2821126031e+07,-5.1993509587e+00
8.1064360545e+06,-7.3719449529e+06,-5.5965671610e+06,-3.8665671725e+00
8.6660505978e+06,-7.9939453551e+06,-2.4576325012e+06,-2.7609639342e+00
9.5565000000e+06,-8.5505526316e+06,0.0000000000e+00,-1.7767016909e+00
-6.3374500266e+06,4.8044604703e+06,-2.7173393629e+07,8.7875931822e+00
-6.1136928618e+06,5.5606244250e+06,-2.4504485701e+07,7.2933166323e+00
-5.8046449811e+06,6.3282389327e+06,-2.1533016456e+07,5.7756328608e+00
-6.1086429378e+06,7.0589168666e+06,-1.5246673614e+07,4.4106248775e+00
-6.5279118417e+06,7.9101219005e+06,-8.8045300070e+06,2.8906299146e+00
-7.0388403468e+06,8.7706173928e+06,-3.4914418580e+06,1.3804761959e+00
-7.5446052632e+06,9.5565000000e+06,0.0000000000e+00,-1.6246100781e-04
4.5691519099e+06,-6.4287428550e+06,-2.7641895586e+07,-5.3629867816e+00
5.7649643156e+06,-6.5687356065e+06,-2.0110262902e+07,-5.3081461128e+00
5.1166987206e+06,-6.3210741319e+06,-2.5543063737e+07,-5.7086476911e+00
6.5063602541e+06,-6.3320197070e+06,-1.7451298179e+07,-5.7842092471e+00
6.0608523761e+06,-5.9404578949e+06,-2.2497064076e+07,-6.5447401909e+00
7.2115015289e+06,-5.8924664638e+06,-1.5195400433e+07,-6.5660942723e+00
7.9049883505e+06,-6.5740584846e+06,-8.6983595700e+06,-5.2914289401e+00
8.7560941658e+06,-7.0107706395e+06,-3.5954958534e+06,-4.4959382610e+00
9.5565000000e+06,-7.5446052632e+06,0.0000000000e+00,-3.5516296487e+00
-5.4388457319e+06,5.7355327730e+06,-2.8115804924e+07,6.9535453854e+00
-5.2986881863e+06,6.9106773112e+06,-1.9929139873e+07,4.6002435558e+00
-5.1590650872e+06,6.2423857834e+06,-2.5936789011e+07,5.8739326316e+00
-5.3964975992e+06,7.7645493759e+06,-1.3108669727e+07,3.0586093153e+00
-4.7713715657e+06,7.2583559901e+06,-1.9318638832e+07,3.8484672635e+00
-6.0035924850e+06,8.7162280684e+06,-5.2490525063e+06,1.4476713354e+00
-6.5386578947e+06,9.5565000000e+06,0.0000000000e+00,-4.4917004897e-04
5.4470338636e+06,-5.8054988270e+06,-2.7530472142e+07,-6.8062636707e+00
6.5909577224e+06,-5.5786624172e+06,-2.0937119077e+07,-7.2172442238e+00
5.9949457250e+06,-5.4173729170e+06,-2.6290590571e+07,-7.5936678811e+00
7.1673719315e+06,-4.9761467136e+06,-1.9276332716e+07,-8.2591310652e+00
7.9673227740e+06,-5.5111457343e+06,-1.1300406316e+07,-7.1730531789e+00
8.7510875795e+06,-6.0324231739e+06,-4.9908263311e+06,-6.2084038771e+00
9.5565000000e+06,-6.5386578947e+06,0.0000000000e+00,-5.3150812252e+00
-4.5753948042e+06,6.5523055769e+06,-2.6472199076e+07,5.1206651476e+00
-4.0936838862e+06,7.1570431222e+06,-2.2856273373e+07,3.8088366800e+00
-4.4925933524e+06,7.9072045645e+06,-1.4526500609e+07,2.6488956847e+00
-4.9912436353e+06,8.7051085108e+06,-6.7726041406e+06,1.3984653240e+00
-5.5327105263e+06,9.5565000000e+06,0.0000000000e+00,-5.4092591125e-04
6.2967972893e+06,-4.8573218065e+06,-2.7229504808e+07,-8.6911492174e+00
6.7820322332e+06,-4.3056404532e+06,-2.5619563837e+07,-9.6133240204e+00
7.3729170287e+06,-4.2097440491e+06,-2.0335600216e+07,-9.5782811139e+00
